ADDRESS,PRICE,BEDROOMS
1 Flint Close,522000,4
1 Florey Place,464000,4
1 Floribunda Gate,550000,4
1 Forrest Court,490000,4
1 Fort Street,560000,2
1 Fortuna View,1160000,4
1 Fortune Street,460000,3
1 Fourth Avenue,872000,4
1 Fran Court,335000,3
1 Frederic Street,83000,2
1 Freedman Road,925000,4
1 Gaffin Way,330000,3
1 Gali Lane,1930000,4
1 Galilee Way,547000,3
1 Gamay Court,533000,4
1 Gannett Street,460000,2
1 Genesta Place,405000,4
1 Georges Close,1075000,4
1 Gerygone Pass,465000,3
1 Ghost Gum Boulevard,335000,4
1 Gianatti Ramble,745000,4
1 Gidgee Cove,385000,3
1 Gilchrist Avenue,480000,3
1 Gillespie Court,330000,3
1 Gillon Road,520000,4
1 Giudice Way,885000,4
1 Glasson Way,610000,4
1 Glebe Close,830000,4
1 Glenelg Street,825000,4
1 Gloucester Road,485000,4
1 Gloucester Street,980000,4
1 Gold Lane,769000,5
1 Goldsmith Drive,900000,4
1 Gordon Place,410000,3
1 Gorman Place,475000,4
1 Graduate Place,385000,4
1 Grahame Street,385000,4
1 Grancey Avenue,650000,2
1 Grant Street,730000,5
1 Gray Road,560000,5
1 Gray Road,720000,4
1 Green Street,505000,3
1 Greygum Rise,362500,5
1 Grid Court,487000,3
1 Grimsay Road,600000,3
1 Grove End Ridge,1675000,4
1 Grove Street,315000,3
1 Guy Place,990000,3
1 Hadlow Court,428000,4
1 Halleendale Road,620000,4
1 Hamlyn Glen,405000,3
1 Hanrahan Loop,643000,4
1 Hansen Vista,538000,5
1 Hardey Road,375000,4
1 Harrier Way,395000,3
1 Hartle Lane,311850,4
1 Hartley Street,499000,4
1 Hartwell Parade,620000,4
1 Harwood Pass,660000,5
1 Harwood Street,560003,3
1 Hazlett Close,481000,4
1 Hebb Court,635000,3
1 Henderson Road,430000,3
1 Hennessy Drive,430000,4
1 Henrietta Court,727000,4
1 Henty Court,450000,4
1 Herbert Road,910000,2
1 Heslop Road,705000,5
1 Hewlett Turn,470000,4
1 Hillcrest Drive,474000,3
1 Hilliger Turn,515000,4
1 Hilltop Close,272500,3
1 Hilltop Place,492500,4
1 Hillwater Promenade,565000,4
1 Hitek Court,280000,4
1 Holmesdale Road,575000,3
1 Holywell Street,495000,4
1 Honister Close,290000,4
1 Hood Street,365000,3
1 Horsemans View,670000,5
1 Hulbert Street,1200000,4
1 Huntington Road,910000,3
1 Hydra Close,340000,3
1 Hynes Road,1800000,4
1 INGODA LINK,650000,5
1 Ingot Lane,492000,4
1 Iona Place,543800,4
1 Irma Way,360000,4
1 Ironcap Grove,305000,4
1 Ivythorne Grove,210000,3
1 Jacolite Street,530000,4
1 Jade Grove,480000,4
1 Jaffa Close,375000,3
1 Jamaican Road,372500,3
1 Jameson Street,980000,3
1 Jaraba Avenue,1400000,3
1 Jarrah Lane,1210000,3
1 Jaywick Close,435000,4
1 Jecks Street,508000,4
1 Jeffrey Loop,315000,4
1 Jib Court,740000,3
1 Jindabyne Street,493000,4
1 Johnson Avenue,561000,2
1 Jolimont Terrace,1100000,3
1 Josbury Corner,605000,4
1 Jura Court,575000,3
1 Jurien Close,301000,4
1 Kadi Court,380000,3
1 Kalara Road,350000,3
1 Kalara Way,172000,3
1 Kalbarri Pass,725000,4
1 Kangaroo Entrance,255000,3
1 Kartner Road,500000,4
1 Kennack Vista,617500,4
1 Kensington Street,520000,3
1 Kent Street,300000,3
1 Kevin Street,533000,3
1 Kilmurray Elbow,415000,4
1 Kinkuna Way,1645000,5
1 Kirkcolm Way,655000,4
1 Kirke Cove,307000,4
1 Kirkstall Way,405000,2
1 Knaphill Heights,458000,6
1 Kookaburra Terrace,335000,4
1 Kooralbyn Way,745000,4
1 Kutcharo Crescent,451000,3
1 Kyby Place,719000,4
1 Kyle Place,726000,4
1 Lambeth Mews,2150000,5
1 Lanark Street,875000,2
1 Langham Street,1200000,4
1 Lark Court,325000,3
1 Lark Mews,550000,3
1 Lauder Place,525000,4
1 Laughton Way,577000,3
1 Lee Street,305000,3
1 Leigh Court,410000,3
1 Lena Street,385000,4
1 Lennoxtown Road,650000,5
1 Letchworth Centre Avenue,1000000,4
1 Librizzi Parade,530000,4
1 Lilypond Court,555000,5
1 Lindeman Heights,430000,4
1 Linnett Brace,550000,4
1 Lintonmarc Drive,555000,4
1 Litchfield Crescent,565000,3
1 Little Lefroy Lane,950000,3
1 Lorient Close,800000,4
1 Love Street,625000,4
1 Luhrs Court,675000,4
1 Luke Place,580000,4
1 Lundy Cove,365000,4
1 Macdonald Road,990000,3
1 Mackie Place,375000,4
1 Maidos Street,358000,3
1 MAJORELLE WAY,279500,4
1 Mal Bay Court,660000,4
1 Malcolm Street,1980000,2
1 Maley Court,435000,4
1 Malibu Entrance,1500000,5
1 Malone Mews,299000,4
1 Manhattan Concourse,445000,3
1 Mannaw Place,315000,4
1 Mannix Pass,500000,4
1 Marconi Street,650000,3
1 Mardja Loop,270000,4
1 Margaret Road,700000,4
1 Marich Cove,442000,3
1 Maritana Road,470000,3
1 Marker Road,940250,5
1 Markham Place,375000,3
1 Maroma Loop,672500,4
1 Martin Avenue,400000,3
1 Mayhill Place,445000,3
1 McBain Court,468000,4
1 Mcdermott Road,145700,3
1 McKenna Glen,1050000,4
1 McKenzie Corner,470000,4
1 McNairn Cross,325000,4
1 Meadow Place,360000,3
1 Meares Avenue,220000,4
1 Mears Way,276000,3
1 Medawar Loop,618000,4
1 Meldrum Loop,330000,4
1 Melissa Street,950000,4
1 Melita Drive,464000,3
1 Melrose Crescent,1365000,4
1 Memorial Avenue,1500000,3
1 Mercer Place,300000,3
1 Merley Crescent,1720000,4
1 Merlot Court,455000,4
1 Milina Street,278000,3
1 Mingara Avenue,1200000,4
1 Mission Place,430000,4
1 Moira Mews,365000,4
1 Monarch Way,486000,3
1 Montana Crescent,430000,3
1 Montrose Way,300000,3
1 Moody Glen,740000,5
1 Moseley Drive,859000,4
1 Mosman Loop,540000,4
1 Mottee Road,778000,4
1 Mudalla Way,385000,3
1 Mulberry Lane,410000,2
1 Mulgrave Loop,610000,5
1 Myhill Mews,215000,3
1 Namoi Street,595000,4
1 Nardie Place,320000,3
1 Narla Place,262000,2
1 Nettia Place,525000,4
1 New Ross Lane,1050000,4
1 Newman Place,370000,7
1 Newmarket Retreat,540000,4
1 newquay Street,462500,4
1 Niagara Cove,438000,5
1 Nicholas Crescent,467500,2
1 Nobilis Street,500000,4
1 Norfolk Rise,1900000,5
1 Northerly Avenue,854000,3
1 Nundah Court,520000,3
1 Nyjong Street,350000,4
1 Oakwood Court,475000,4
1 Oban Court,1115000,4
1 Odell Court,800000,4
1 Odell Street,385000,4
1 Odessa Place,550000,4
1 Offord Street,176500,3
1 Ollera Meander,435000,4
1 Ollis Street,360000,4
1 O'Mara Boulevard,625000,4
1 Orange Valley Road,582500,3
1 Orsulich Loop,408000,3
1 Otway Street,2302500,5
1 Palos Court,680000,4
1 Parish Lane,1400000,4
1 Park Lane,610000,4
1 Parkwood Avenue,554500,3
1 Peaceful Close,420000,4
1 Pearson Crescent,950000,6
1 Pedalstone Drive,705000,4
1 Peet Crescent,780000,3
1 Pelion Court,505000,4
1 Penn Lane,515000,4
1 Penson Street,345000,3
1 Pera Mews,460000,4
1 Peter Way,1778000,5
1 Piermont Avenue,900000,4
1 Pimelea Rise,495000,4
1 Pixie Place,395000,5
1 Platypus Parkway,605000,4
1 Plover Way,625000,3
1 Poinsettia Grove,499000,4
1 Point Link,595000,4
1 Polglase Fairway,379000,4
1 Portland Way,520000,4
1 Portsea Gardens,912000,4
1 Presto Close,475000,4
1 Printer Street,560000,2
1 Punai Place,1000000,5
1 Pursuit Close,407000,4
1 Purvis Street,470000,3
1 Quail Place,440000,4
1 Quenda Close,520000,4
1 Ragtime Court,440000,3
1 Ramose Close,415000,3
1 Reflection Mews,419000,3
1 Regatta Way,307000,4
1 Regent Court,515000,3
1 Reginald Street,670000,5
1 Reilly Street,330000,3
1 Reinagle Street,539000,4
1 Repens Way,370000,4
1 Reserve Street,1820000,5
1 Retchford Way,560000,4
1 Reuben Street,590000,3
1 Riber Court,925000,5
1 Richards Crescent,440000,3
1 Rigoll Court,400000,3
1 Ringarooma Way,670000,4
1 Ringmer Way,380000,3
1 River Bank Boulevard,750000,4
1 River Bed Pass,765000,4
1 Riverdale Road,415000,4
1 Robert Street,1700000,3
1 Robyn Street,520000,3
1 ROKER Way,344000,3
1 Romani Court,400000,4
1 Rosalind Court,1110000,4
1 Rose Bay Court,1150000,4
1 ROSTRATUS Link,480000,3
1 Rothsay Crescent,915000,3
1 Rowe Place,620000,3
1 Royal Melbourne Avenue,705000,4
1 Royce Grove,932000,2
1 Ruby Avenue,482000,4
1 Ruby Court,589000,5
1 Rudge Place,320000,3
1 Sabro Lane,463000,3
1 Salamanca Parkway,345000,3
1 Salisbury Road,350000,4
1 Salmond Way,802000,4
1 Salvin Road,820000,4
1 Samos Place,790000,4
1 Sandalford Drive,504000,3
1 Sandridge Street,330000,3
1 Sandringham Street,1051000,3
1 Sapium Way,565000,4
1 Scarcliffe Way,1125000,5
1 Scott Street,472000,3
1 Seabreeze Avenue,860000,4
1 Seaflight Court,560000,5
1 Searle Road,1390000,6
1 Sedge Link,520000,4
1 Sellenger Avenue,462000,4
1 Seton Lane,550000,4
1 Shackleton Street,600000,3
1 Sheppard Way,1480000,4
1 Shiralee Bend,650000,4
1 Shoal Court,710000,4
1 Short Street,912000,3
1 Silica Road,491000,4
1 Silky Lane,303000,4
1 Simon Place,1450000,3
1 Sistina Road,450000,4
1 Skottowe Parkway,272000,3
1 Skye Lane,320000,3
1 Smailes Elbow,228750,3
1 Smitherson Street,585000,5
1 Smullin Street,470000,3
1 SNOWY RISE,445000,4
1 Solly Court,1300000,6
1 Spargo Street,765000,4
1 Spring Hill,597000,4
1 Spruce Place,490000,4
1 Spruce Terrace,512888,4
1 St Fillans Bend,465000,4
1 St Ives Loop,2195000,4
1 Staniland Street,899000,4
1 Stephen Street,480000,3
1 Stitfold Promenade,1300000,4
1 Stokesay Street,418000,5
1 Strathmore Parkway,350000,4
1 Strathpine Chase,575000,4
1 Strelley Lane,512600,4
1 Stretton Way,275000,3
1 Strickland Court,770000,6
1 Styne Road,1800000,4
1 Success Crescent,1555000,4
1 Sumich Gardens,715000,4
1 Swallow Grove,360000,3
1 Sweeney Way,579000,4
1 Talisker Mews,420000,5
1 Tall Karri Close,370000,4
1 Tattler Place,323000,3
1 Taylor Street,845000,5
1 Teetree Court,500000,5
1 Temple Mews,928250,4
1 Tenella Mews,300000,4
1 Tennyson Street,400000,3
1 Tetbury Road,500000,4
1 The Mead,450000,4
1 The Mews,730000,4
1 Thomas Hamilton Avenue,450000,4
1 Thorman Place,905000,4
1 Thornbill Loop,429000,4
1 Thurlow Avenue,525000,3
1 Till Street,370000,3
1 Tintern Road,465000,3
1 Tippett Court,680000,4
1 Tiwi Court,826000,4
1 Tolbury Retreat,420000,4
1 Torre Link,560000,4
1 Torridon Loop,725000,4
1 Treaty Oak Cove,600000,4
1 Treave Street,450000,3
1 Triller Road,515000,4
1 Trilogy Court,1030000,4
1 Trona Place,395000,4
1 Tropicana Way,753000,5
1 Troy Avenue,1600000,4
1 Tucker Street,270000,4
1 Tuckeroo Parade,785000,4
1 Tullow Road,1575000,5
1 Turner Parkway,479100,4
1 Turner Street,310000,3
1 TWIN VIEW,595000,4
1 Umina Street,296000,2
1 Valencia Avenue,935000,3
1 Valencia Road,670000,4
1 Valley Close,1200000,5
1 Vantage Way,1585000,4
1 Veldt Mews,370000,3
1 Venetian Way,435000,4
1 Verve Court,1255000,5
1 Vilamour Close,582000,4
1 Viola Place,485000,4
1 Violet Street,410000,3
1 Virgilia Terrace,565000,4
1 Voyager Link,449000,3
1 Wake Court,390000,3
1 Wallace Street,640000,4
1 Wambiri Close,510000,4
1 Warlu Place,315000,4
1 Warnt Court,430000,4
1 Waterway Crescent,1250000,4
1 Wattle Court,740000,4
1 Waugh Court,1150000,5
1 Wayford Circle,595000,4
1 Webb Street,670000,3
1 Weema Court,560000,6
1 Weetman Cove,402600,3
1 Wendo Court,345000,4
1 Wenstead Place,357000,4
1 Werri Place,378000,3
1 Wescap Rise,300000,4
1 Whelk Place,775000,3
1 White Place,753000,3
1 White Street,785000,3
1 Whitehouse Drive,475000,3
1 Wildwood Mews,539000,4
1 Willard Circuit,385000,3
1 Williams Court,1200000,5
1 Williamson Way,840000,4
1 Willow Way,650000,4
1 Wilson Lane,654000,4
1 Wimbledon Drive,627500,4
1 Windoo Place,292500,3
1 Windoo Road,655000,4
1 Wintergreene Drive,492000,4
1 Wissota Pass,546000,4
1 Woodbine Loop,500000,4
1 Woodbine Terrace,420000,4
1 Woodfield Close,435000,3
1 Woodlands Way,600000,4
1 Woolmore Cross,505000,4
1 Yallambee Place,662500,2
1 Yilgarn Street,925000,3
1 Yule Street,1550000,4
1 Zamia Road,575000,3
1 Zanzibar Loop,540000,3
1/1 Coolgardie Street,480000,2
1/1 French Street,455000,3
1/1 Lentona Road,419000,2
1/1 Muriel Avenue,960000,4
1/1 Wingfield Avenue,950000,1
1/10 Gibson Street,640000,3
1/101 Epsom Avenue,407000,3
1/109 Kenny Street,230000,2
1/11 Adamson Road,555000,3
1/11 Elvire Street,400000,3
1/11 Stott Close,156500,3
1/11 Waterway Crescent,482000,3
1/12 Catalina Place,570000,3
1/12 Farnaby Lane,315000,3
1/125 Swansea Street,430000,3
1/126 Telford Crescent,615000,3
1/13 Helm Street,807000,3
1/13 Rimmington Court,325000,3
1/13 Sorrento Street,850000,3
1/14 Godwit Street,400000,3
1/14 Greenshank Drive,640000,3
1/14 Mineral Place,341500,3
1/14a Norman Street,450000,3
1/15 Bredgar Way,340000,3
1/15 Cook Street,625000,3
1/15 Lisbon Court,339000,3
1/157 Kinross Drive,285000,2
1/159 Mcdonald Street,422000,2
1/16 Coneflower Corner,890000,3
1/16 Leverburgh Street,766000,4
1/16 Tavistock Crescent,370000,3
1/163 Tyler Street,140000,2
1/164 McDonald Street,640000,4
1/165 Canning Highway,680000,3
1/17 Elizabeth Street,408000,3
1/17 Satellite Retreat,370000,3
1/18 Coongan Avenue,527500,3
1/18 Devon Way,387000,3
1/18 Mary Street,742000,2
1/182 Fulham Street,300000,2
1/19 Drabble Road,721000,5
1/19 Flora Terrace,500000,3
1/19 Roseheath Boulevard,370000,3
1/19 Tamar Street,500000,3
1/20 Holton Way,335000,3
1/202 Crawford Road,485000,3
1/205 French Street,525000,4
1/208 Albert Street,365000,3
1/21 Fletcher Street,685000,3
1/218 Westview Street,450000,3
1/22 Ada Street,1250000,4
1/22 Harper Street,395000,3
1/22 Manoff Road,292000,2
1/22 Prinsep Road,655000,3
1/22 Redgate Court,410000,3
1/23 Avonmore Terrace,670000,2
1/23 Golf Road,338000,2
1/24 Coventry Road,310000,2
1/24 Melinga Court,427500,3
1/242 French Street,432000,3
1/265 Kooyong Road,357500,3
1/268 Guildford Road,432000,3
1/27 Osborne Road,475000,3
1/28 Alday Street,530000,4
1/29 Chetwynd Way,440000,2
1/29 Money Road,610000,3
1/29 Seaforth Road,600000,4
1/29 Spoonbill Place,435000,4
1/29 Stratford Street,430000,2
1/3 Addlewell Glen,370000,3
1/3 Clive Road,1026000,3
1/3 Hope Road,445000,2
1/3 Stockman Way,508000,4
1/30 Milford Way,450000,3
1/301 Oxford Street,400000,1
1/31 Harvest Road,1100000,3
1/31 Mosaic Street,755000,4
1/31 Second Avenue,780000,3
1/31 Troy Terrace,1250000,3
1/31 Villiers Street,370000,3
1/32 Camboon road,270000,3
1/32 Fraser Street,495000,2
1/32 Hubert Road,420000,3
1/326 Preston Point Road,675000,3
1/33 Holmesdale Road,335000,3
1/33 Steward Way,160000,2
1/335 Oxford Street,880000,4
1/34 Banksia Street,585000,3
1/341 Wharf Street,315000,3
1/35 Collier Avenue,341000,3
1/36 Wood Street,565000,3
1/38 Brandon Street,600000,3
1/38 Norman Street,360000,3
1/39 Beatty Avenue,440000,3
1/39 Cape Street,435000,3
1/39 Ferguson Street,400000,4
1/4 Classic Rise,465000,4
1/4 Lentona Road,490000,3
1/4 Leslie Street,430000,3
1/4 Manley Street,334000,3
1/4 Talbot Road,415000,2
1/40 Mica Mews,360000,3
1/41 Baler Court,480000,3
1/41 Hooley Road,337500,3
1/41 Renwick Street,730000,3
1/42 Byers Road,316000,3
1/42 Cleopatra Street,460000,3
1/43 Ferguson Street,445000,4
1/43 John Street,630000,3
1/46 Charles Street,167500,3
1/48 Collier Avenue,359000,3
1/48 Thelma Street,525000,3
1/49 Discovery Circuit,715000,3
1/49 Rule Street,2050000,3
1/49 South Street,405000,2
1/5 Arpent Link,364000,4
1/50 King Street,440000,3
1/50 Monmouth Street,625000,3
1/51 Cyril Street,320000,3
1/53 Carrington Street,420000,3
1/58 Second Avenue,975000,3
1/584 Canning Highway,370000,2
1/59 Hastings Street,579000,3
1/59 Waddell Road,355000,2
1/6 Bellevue Terrace,2300000,3
1/6 Cato Street,515000,3
1/6 Pearse Street,665000,2
1/63 SAW AVENUE,342000,4
1/63 Sayer Street,330000,3
1/66 MOREING STREET,325000,2
1/67 Upton Street,365000,3
1/69 Calais Road,600000,3
1/69 Welwyn Avenue,670000,3
1/7 Blandfield Way,350000,3
1/7 Chidlow Street,470000,2
1/7 Hodgson Lane,400000,2
1/79 Hardy Road,370000,3
1/79 Sayer Street,360000,3
1/8 Benson Court,375000,3
1/8 Betula Street,720000,4
1/8 Burdett Retreat,457000,3
1/8 Sonia Street,494000,3
1/86 Ivanhoe Street,409500,3
1/9 Glencairn Way,378000,3
1/9 Westbrook Way,300000,3
1/94 Kathleen Street,530000,4
1/95 Kent Street,360000,3
1/96 North Beach Road,777000,3
1/99 Roberts Road,450000,2
10 Aberdare Way,555000,4
10 Abingdon Place,213000,3
10 Abrolhos Drive,560000,4
10 Ada Street,1730000,2
10 Addingham Crescent,455000,4
10 Adelong Circuit,250000,3
10 Adonis Street,332000,3
10 Aitken Place,578000,5
10 Albert Street,450000,3
10 Aleaha Brace,291000,3
10 Alford Way,385000,3
10 Altai Dale,435000,4
10 Ameer Way,530000,4
10 Amery Road,495000,4
10 Andrews Way,380000,4
10 Anne Avenue,440000,3
10 Anstey Street,550000,3
10 Antigua Place,455000,4
10 Apara Place,389000,3
10 Aparri Way,360000,4
10 Appleby Drive,505000,4
10 APPLETON Road,485000,4
10 Apsley Bend,600000,4
10 Aquanita Rise,700000,4
10 Araucaria Boulevard,318000,4
10 Archdeacon Street,1690000,5
10 Archimedes Crescent,430000,5
10 Arkwell Street,832000,5
10 Armitage Close,380000,3
10 ARTARMON RISE,1140000,4
10 Astrolabe Way,340000,4
10 Atkinson Road,1575000,3
10 Auborough Street,648500,2
10 Aurora Drive,537000,4
10 Axewood Place,406000,3
10 Aylesbury Close,530000,4
10 Baddesley Street,375000,4
10 Bahama Way,350000,3
10 Ballymote Gardens,291000,4
10 Banchory Way,610000,4
10 Banjine Road,160000,2
10 Banksia Court,370000,4
10 Barbera Lane,895000,4
10 Barcelona Terrace,539000,4
10 Barcroft Court,395000,4
10 Barnden Road,695500,4
10 Barranduna Drive,355000,3
10 Barrington Avenue,185000,4
10 Barrington Street,1279000,4
10 Basedow Chase,445000,4
10 Basico Avenue,549000,5
10 Batavia Way,966000,3
10 Bathgate Loop,415000,3
10 Beacham Road,759000,4
10 Becket Court,320000,4
10 Bedale Street,545000,4
10 Beechcroft Place,240000,3
10 Beenan Elbow,101200,3
10 Belaring Place,430000,4
10 Belfast Crescent,333000,3
10 Bellport Parade,670000,5
10 Belvoir Place,430000,4
10 Beor Way,350000,3
10 Berkeley Street,450000,4
10 Berlotto Drive,510000,3
10 Berrigan Drive,380000,3
10 Bertram Street,350000,3
10 Beverley Street,1188000,4
10 Biara Road,272000,3
10 Bight Reefs Road,432500,3
10 Bilcich Gardens,515000,4
10 Bilkurra Way,289000,3
10 Billing Way,665000,4
10 Bilya Avenue,679000,4
10 Binar Court,400000,4
10 Binden Place,510000,4
10 Bingarra Close,390000,4
10 Bingfield Road,265000,3
10 Binnia Mews,430000,3
10 Birch Place,560000,4
10 Birchgrove Court,585000,4
10 Birkenhead Ridge,835000,4
10 Bishop Close,367000,4
10 Bishop Riley Way,1850000,5
10 Blackboy Road,490000,4
10 Blackman Road,1475000,4
10 Bland Street,1250000,3
10 Blenny Close,476000,3
10 Block Place,1000000,5
10 Bondini Way,522000,4
10 Booligal Street,425000,3
10 Bosbaan Place,196000,4
10 Bowen Place,520000,4
10 Boyd Street,535000,4
10 Bradbury Place,331500,3
10 Braden Way,1620000,5
10 Brae Court,330000,4
10 Bramley Terrace,555000,4
10 Brantwood Turn,396000,4
10 Brassey Street,1810000,4
10 Breton Court,421000,4
10 Bricknell Road,830000,3
10 Bridal Crescent,330000,3
10 Bridges Rise,390000,4
10 Bridget Place,1600000,4
10 Brigalow Way,220000,3
10 Brinckley Crescent,362000,4
10 Bristow Street,167000,3
10 Broad Street,1390000,4
10 Broadbeach Boulevard,955000,4
10 Brolga Court,570000,4
10 Broomhall Way,635000,4
10 Brumby Avenue,507500,4
10 Bruns Drive,785000,4
10 Bruny Meander,850000,4
10 Bungalow Court,2400000,4
10 Burleigh Drive,860000,4
10 Burnettia Lane,1100000,3
10 Burtonia Place,680000,4
10 BUTCHART TURN,740000,4
10 Byfield Road,382000,3
10 Cadoux Loop,470000,4
10 Caduceus Way,730000,4
10 Calabar Court,367000,4
10 Cale Court,375000,3
10 Calgary Place,481000,3
10 Calume Street,310000,4
10 Campbell Court,651000,4
10 Campion Crescent,1065000,4
10 Campolino Gardens,360000,4
10 Camrose Lane,531000,4
10 Cantrell Circuit,645000,4
10 Cape Gardens,550000,5
10 Cape Le Grand Avenue,705000,4
10 Carnforth Road,355500,4
10 Carrick Way,442500,4
10 Cassidae Terrace,1030000,4
10 Castledene Way,500000,4
10 Castroreale Boulevard,455000,4
10 Cathedral Link,585000,4
10 Celtic Crescent,390000,3
10 Cereza Lane,447500,3
10 Cerulean Road,179000,3
10 Cestrum Rise,550000,4
10 Chalk Elbow,570000,4
10 Champagne Terrace,780000,5
10 Charles Street,1600000,4
10 Chauvel Court,430000,4
10 Chelmorton Loop,770000,4
10 Chelmsford Road,845000,3
10 Chenile Mews,100000,4
10 Chervil Bend,560000,4
10 Chesapeake Parade,480000,4
10 Chesterfield Avenue,460000,3
10 Chestnut Street,780000,3
10 Chile Way,555000,4
10 Chinook Drive,475000,4
10 Chiswick Street,1025000,4
10 Chittawarra Court,567000,4
10 Chivrell Rise,920000,4
10 Choseley Place,160000,4
10 Christina Street,600000,4
10 Christmas Avenue,453500,4
10 Churchman Brook Road,650000,3
